Cases,Date
5298772,2020-10-21T00:00:00Z
5323630,2020-10-22T00:00:00Z
5353656,2020-10-23T00:00:00Z
5380635,2020-10-24T00:00:00Z
5394128,2020-10-25T00:00:00Z
5409854,2020-10-26T00:00:00Z
5439641,2020-10-27T00:00:00Z
5468270,2020-10-28T00:00:00Z
5494376,2020-10-29T00:00:00Z
5516658,2020-10-30T00:00:00Z
5535605,2020-10-31T00:00:00Z
5545705,2020-11-01T00:00:00Z
5554206,2020-11-02T00:00:00Z
5566049,2020-11-03T00:00:00Z
5590025,2020-11-04T00:00:00Z
5590025,2020-11-05T00:00:00Z
5631181,2020-11-06T00:00:00Z
5653561,2020-11-07T00:00:00Z
5664115,2020-11-08T00:00:00Z
5675032,2020-11-09T00:00:00Z
5699005,2020-11-10T00:00:00Z
5747660,2020-11-11T00:00:00Z
5781582,2020-11-12T00:00:00Z
5810652,2020-11-13T00:00:00Z
5848959,2020-11-14T00:00:00Z
